daymetVersion,date,Num_Requests,Min_Time,Mean_Time,Stddev_Time,Max_Time,Min_Size,Mean_Size,Stddev_Size,Max_Size
"V3-python","2020-01-01",339,0.029,0.7685929191213617,0.6495552860955985,3.418,26280,518157.8761,211413.1934725223,1024920
"V3-python","2020-01-02",1328,0.03,1.4480474410853517,1.1586010412649563,13.298,26280,981522.3795,174544.77580783595,1024920
"V3-python","2020-01-03",90053,0.03,0.509288041441457,0.388967846774439,6.982,26280,80542.2336,34707.15301071459,998640
"V3-python","2020-01-04",259,0.036,0.5836486498677823,0.42979330550988987,2.9,26280,645026.8726,264349.0967080722,998640
"V3-python","2020-01-05",140,0.03,0.42905714376164333,0.7014432980338673,4.203,26280,751608.0000,393583.81555575755,1024920
"V3-python","2020-01-06",473,0.029,0.4680507405332229,0.716076668811525,6.12,26280,778989.3108,331191.90125048277,1024920
"V3-python","2020-01-07",6378,0.03,0.41509062427660587,0.34874076761080974,3.416,26280,55494.1261,157750.41388152473,1024920
"V3-python","2020-01-08",30128,0.03,0.25011225438394113,0.2335022275450809,3.394,26280,31543.9318,67608.77199548732,1024920
"V3-python","2020-01-09",8951,0.03,0.30706848441757895,0.40160792683274327,4.847,26280,274976.7597,415228.8067140988,1024920
"V3-python","2020-01-10",253,0.034,0.25717786636218254,0.38923883112681135,3.71,26280,519307.8261,380432.56672160537,1024920
"V3-python","2020-01-11",168382,0.032,0.04478229872143512,0.07708692626698979,4.82,26280,33330.0046,83499.81959039667,1024920
"V3-python","2020-01-12",322088,0.028,0.03860772571614069,0.04258409596524127,3.914,26280,26309.5365,4959.205384037896,1024920
"V3-python","2020-01-13",2178,0.035,2.2209269966505967,2.1071903001987193,22.49,26280,922707.9339,294645.038911629,1024920
"V3-python","2020-01-14",1025,0.056,1.2066643904004155,0.9885833009978253,6.884,2232,311875.2702,272395.77544550877,1024920
"V3-python","2020-01-15",206,0.05,1.2502864099930502,1.2627221543317113,7.058,26280,681228.6990,402154.260776624,1024920
"V3-python","2020-01-16",236,0.049,1.0145084725661297,1.3920682749397582,7.166,72,162590.0339,261487.45746463802,1024920
"V3-python","2020-01-17",211,0.111,1.7837725143297023,1.6104323997815262,9.831,1120,303238.5972,220817.1533583673,1024920
"V3-python","2020-01-18",69,0.106,2.992202910284201,2.487808195754896,8.958,26280,318914.7826,286823.75241024216,1024920
"V3-python","2020-01-19",81,0.051,1.1184074028774544,1.0530495415706405,5.323,26280,457466.6667,365450.0514282204,788400
"V3-python","2020-01-20",381,0.018,0.6331732294221563,0.8627097433397108,5.652,24,243555.7165,329968.42301003705,1024920
"V3-python","2020-01-21",217,0.052,1.0037926258819718,1.0874161755529754,4.993,26280,526831.6313,348699.34383835876,1024920
"V3-python","2020-01-22",266,0.047,1.644109019813569,2.2143338699751642,19.21,26280,454673.7744,393655.5531997887,1024920
"V3-python","2020-01-23",761,0.052,0.4932772667537616,0.37803575417095614,2.619,26280,912219.4376,284658.7758075009,1024920
"V3-python","2020-01-24",148,0.053,1.7365067614796195,1.8518014061944983,12.457,26280,352686.1622,388584.5232645409,1024920
"V3-python","2020-01-25",36,0.054,0.8549722212677201,1.1037266434530273,4.732,26280,113150.0000,199164.28269145047,788400
"V3-python","2020-01-26",66,0.037,1.0141060571891791,1.2889657537673558,5.544,1120,167177.5758,295314.6785649864,1024920
"V3-python","2020-01-27",666,0.039,1.2290825804600396,1.40320054271783,7.511,1120,764584.8048,411363.13767908025,1024920
"V3-python","2020-01-28",7081,0.054,1.6072582967133235,0.9178044780613609,7.906,72,1012781.7562,101571.11873164326,1024920
"V3-python","2020-01-29",6050,0.053,1.1636388422308628,0.5549983492036192,5.58,26280,908687.2569,201299.70370057048,1024920
"V3-python","2020-01-30",2194,0.052,0.7389047396765749,0.5648571484379719,4.945,26280,434455.8286,258314.32898978665,1024920
"V3-python","2020-01-31",11535,0.057,1.4635375815423914,1.047319501301921,8.682,2232,475130.5266,297923.3601615737,1024920
"V3-python","2020-02-01",4707,0.15,3.3404259605438864,1.3078288753796117,20.902,26280,962349.3690,189231.16965047887,1024920
"V3-python","2020-02-02",2937,0.248,1.4686445352127653,1.0673980023512277,8.29,26280,753351.0521,137512.418358768,1024920
"V3-python","2020-02-03",35762,0.02,0.7181383030984202,0.5328614789093948,10.364,24,648234.3493,242687.1103006676,1051200
"V3-python","2020-02-04",17423,0.039,0.6685270615856844,0.666498374396154,7.225,96,813418.5663,124077.51746390025,1024920
"V3-python","2020-02-05",942,0.022,1.1211719743852087,0.9421439068401332,7.547,288,917696.7558,273336.3897020059,1024920
"V3-python","2020-02-06",9429,0.018,0.7062648212038766,0.5373333595790744,6.604,216,231094.2378,340071.30537052156,1024920
"V3-python","2020-02-07",2432,0.047,6.733923518794319,6.187899564938165,32.563,240,903583.1842,281217.4038054389,1024920
"V3-python","2020-02-08",31,0.18,2.2077419229092135,2.1170941404899515,6.832,26280,195545.8065,264353.24959745957,683280
"V3-python","2020-02-09",281,0.057,2.0134270459652157,1.9482306290091647,8.235,216,340807.0036,304012.7811984987,788400
"V3-python","2020-02-10",528,0.018,2.00548105976883,1.9505824022938953,8.591,72,337269.9697,326595.33852265304,1024920
"V3-python","2020-02-11",1339,0.069,1.7459029132546195,1.3480132234933797,11.036,240,267561.2188,259245.8168963364,1024920
"V3-python","2020-02-12",221757,0.047,0.14848179773452824,0.20978834088381304,10.68,26280,28343.3050,36475.671706565765,1024920
"V3-python","2020-02-13",548352,0.033,0.1447175593004735,0.22034094395941212,21.987,48,27271.2058,23980.201533451273,1024920
"V3-python","2020-02-14",250446,0.048,0.6258427166269002,0.6482493946518051,59.177,144,28863.5976,44116.740091974374,1024920
"V3-python","2020-02-15",178717,0.05,0.7814455368068542,0.9305928085134514,136.496,14600,26409.8765,6539.106234187574,499320
"V3-python","2020-02-16",75,0.56,2.6222933030128477,5.438359271260935,46.795,26280,229161.6000,181442.9260716438,499320
"V3-python","2020-02-17",772,0.045,17.603713708958672,87.28395491551227,925.901,144,795925.3679,249307.0172267557,1024920
"V3-python","2020-02-18",7673,0.055,2.778517657862999,2.7349609353831457,43.902,8568,324288.7413,400617.87625316426,1024920
"V3-python","2020-02-19",2778,0.018,0.2476130309866713,0.6988119621767034,14.509,72,63988.2736,166845.49484765087,1024920
"V3-python","2020-02-20",873,0.053,1.6880664399143346,1.5028088469954852,7.871,2232,593940.1787,374559.10914007033,1024920
"V3-python","2020-02-21",6014,0.056,1.9118915872321915,1.7109930164598142,18.137,2232,514102.5407,486716.7430994798,1024920
"V3-python","2020-02-22",1021,0.051,1.24585308539558,1.3983497537500442,17.934,26280,222246.8874,380953.50482054404,1024920
"V3-python","2020-02-23",439,0.134,1.5948450990309748,0.9519691988420083,6.672,1512,79775.8360,126968.94546201521,1024920
"V3-python","2020-02-24",10468,0.053,2.2762971898429822,1.9848748895163502,20.203,8760,294062.3217,328072.4251731896,1024920
"V3-python","2020-02-25",92298,0.046,2.1906139355106187,1.6019426650494484,23.966,26280,163014.5826,149628.38373264123,1024920
"V3-python","2020-02-26",6510,0.048,0.8736089094729376,0.8746752557534835,10.778,26280,799615.2111,343260.40470601263,1024920
